NOM_ASSOCIATION;Sigle;RECONNAISSANCE;AXES;ADRESSE;C.P.;LOCALITE;TEL.;FAX;E.MAIL;Site Web
Amis de la Fagne (Les);;DECRET 2003;1;PLACE DE PETIT-RECHAIN  1;4800;VERVIERS;010/61 48 50;;info@amisdelafagne.be;www.amisdelafagne.be
Amis de la Terre (Les) - Belgique;;DECRET 2003;1;RUE NANON  98;5000;NAMUR;081/39 06 39;081/39 06 38;contact@amisdelaterre.be;www.amisdelaterre.be
Amnesty International - Belgique francophone;AIBF;DECRET 2003;1 + 4;CHAUSSEE DE WAVRE  169;1050;BRUXELLES;02/538 81 77;02/537 37 29;amnesty@amnesty.be;www.amnesty.be
Aquilone (L') - Centre interculturel;;DECRET 2003;1;BOULEVARD SAUCY  25;4020;LIEGE;;;aquiloneinfo@gmail.com;www.aquilone.be
Arab Women'S Solidarity Association;AWSA-BE;DECRET 2003;3;AVENUE DE L'ETERNITE  6;1070;BRUXELLES;02/229 38 10;02/229 38 01;awsabe@gmail.com;www.awsa.be
Article 27;;DECRET 2003;1 + 3;RUE DE LA SENNE  81;1000;BRUXELLES;02/646 30 28;02/646 59 36;bruxelles@article27.be;www.article27.be
ASBL Joseph Swinnen;;DECRET 2003;1;RUE DU PONT DE L'AVENUE  35;1000;BRUXELLES;02/203 56 13;02/201 67 29;coordination@swinnen-asbl.be;
Association belgo-palestinienne;;DECRET 2003;4;RUE DES PALAIS  154;1030;BRUXELLES;02/223 07 56;02/250 12 63;info@abp-wb.be;www.association-belgo-palestinienne.be
Association culturelle Joseph Jacquemotte;ACJJ;DECRET 2003;1 + 3;RUE JULIEN LAHAUT  11;6020;DAMPREMY;;;info.acjj@gmail.com;www.acjj.be
Association des Comités de Quartiers ucclois;ACQU;DECRET 2003;1;RUE DES BIGARREAUX  34;1180;BRUXELLES;02/374 97 03;;acqu.asbl@gmail.com;www.acqu.be
Association des Habitants de Louvain-la-Neuve;AHLL;DECRET 2003;1;SCAVEE DU BIEREAU  3;1348;LOUVAIN-LA-NEUVE;010/45 29 12;010/45 29 12;info@ahlln.be;www.ahlln.be
Association des Parents d'Enfants déficients auditifs francophones;APEDAF;DECRET 2003;4;RUE DE PICARDIE  43;1140;BRUXELLES;02/644 66 77;02/640 20 44;info@apedaf.be;www.apedaf.be
Association d'Information, d'Aide et d'Education sociale et culturelle pour la Femme - Infor-Femmes;ADIF;DECRET 2003;1;RUE DU CHIMISTE  34-36;1070;BRUXELLES;02/529 03 74;;info@inforfemmes.be;www.inforfemmes.be
Association interculturelle de l'Europe de l'Est en Belgique - Harmonie;AIRBE;DECRET 2003;1;GRAND' RUE  95;7000;MONS;065/56 91 97;;info@airbeharmonie.be;airbeharmonie.be
Association Marcel Hicter pour la Démocratie culturelle;;DECRET 2003;3;AVENUE MAURICE  1;1050;BRUXELLES;02/641 89 80;02/641 89 81;contact@fondation-hicter.org;www.fondation-hicter.org
Association pour la Taxation des Transactions financières pour l'Aide aux Citoyens - Bruxelles 2;ATTAC Bxl 2;DECRET 2003;1;RUE DES PALAIS  154;1030;BRUXELLES;;;admin@attac.be;bxl2.attac.be
Association pour la Taxation des Transactions financières pour l'Aide aux Citoyens - Liège;ATTAC;DECRET 2003;1;RUE DU PLOPE  184;4041;HERSTAL;04/349 19 02;04/349 01 44;info@liege.attac.be;www.attacliege.be
Association pour le Droit des Etrangers;ADDE;DECRET 2003;3;RUE DU BOULET  22;1000;BRUXELLES;02/227 42 42;02/227 42 44;accueil@adde.be;www.adde.be
Association pour une Fondation Travail-Université;FTU;DECRET 2003;3;CHAUSSEE DE HAECHT  579/50;1031;BRUXELLES;02/246 38 51;;info@ftu.be;www.ftu.be
Association professionnelle des Métiers de la Création / SmartBe;;DECRET 2003;3;RUE EMILE FERON 70;1060;BRUXELLES;02/542 10 80;02/420 52 93;coop@smart.coop;www.smartbe.be
Association provinciale des Seniors du Luxembourg;;DECRET 2003;1;PLACE COMMUNALE  21-25;6800;LIBRAMONT;061/61 29 26;061/61 29 26;seniorlux@skynet.be;
ATD Quart-Monde Wallonie-Bruxelles;ATD;DECRET 2003;1;AVENUE VICTOR JACOBS  12;1040;BRUXELLES;02/647 99 00;02/640 73 84;contact@atd-quartmonde.be ;www.atd-quartmonde.be
Atelier (L');;DECRET 2003;1;EN CHAROTTE  20/1;6940;BARVAUX;0473/66 45 99;;atelier.cec@skynet.be;www.atelier-cec.org
Atelier de Recherche et d'Action urbaines;ARAU;DECRET 2003;1 + 3;RUE DU MIDI  165/2;1000;BRUXELLES;02/219 33 45;02/219 86 75;info@arau.org;www.arau.org
Atelier d'Education permanente pour Personnes incarcérées;ADEPPI;DECRET 2003;1;CHAUSSEE D'ALSEMBERG  303/3/1;1190;BRUXELLES;02/223 47 02;02/223 47 03;info@adeppi.be;www.adeppi.be
Atelier des Droits sociaux;;DECRET 2003;3;RUE DE LA PORTE ROUGE  4;1000;BRUXELLES;02/512 02 13;02/512 76 68;secretariat@ladds.be;www.ladds.be
Ateliers du Soleil;;DECRET 2003;1;RUE DE PAVIE  53;1000;BRUXELLES;02/736 78 95;02/215 58 60;direction@ateliersdusoleil.be;www.ateliersdusoleil.be
Ateliers Paysans-Artisans;APA;DECRET 2003;1;RUE CELESTIN HASTIR  107;5150;FLOREFFE;;;ateliers@paysans-artisans.be;www.paysans-artisans.be
"Autre ""Lieu"" (L') - Recherche-Action sur la Psychiatrie et les Alternatives";RAPA;DECRET 2003;1 + 4;RUE DE LA CLE  5;1000;BRUXELLES;02/230 62 60;02/230 47 62;info@autrelieu.be;www.autrelieu.be
Bamko;;DECRET 2003;3;RUE DE LA CLINIQUE  21;1070;BRUXELLES;;;bamko.asbl@gmail.com;www.bamko.org
Barricade - Culture d'Alternatives;;DECRET 2003;1 + 3;RUE PIERREUSE  19-21;4000;LIEGE;04/222 06 22;;info@barricade.be;www.barricade.be
Barricade (La);;DECRET 2003;1;RUE JOSAPHAT  33;1210;BRUXELLES;02/219 69 96;;labarricade@skynet.be;www.labarricade.be
Bataclan (Le);;DECRET 2003;1;RUE DU PAVILLON  7-9/7A;1030;BRUXELLES;02/646 30 13;;info@bataclan.be;www.bataclan.be
BePax;;DECRET 2003;1 + 3;CHAUSSEE SAINT-PIERRE  208;1040;BRUXELLES;02/896 95 00;;info@bepax.org;www.bepax.org
Bobine (La);;DECRET 2003;1;AVENUE GEORGES TRUFFAUT  18;4020;LIEGE;04/342 94 49;04/342 86 45;info@labobine.be;www.labobine.be
Bouillon de CultureS;;DECRET 2003;1;RUE PHILOMENE  41;1030;BRUXELLES;02/210 94 20;02/223 73 95;projets@bouillondecultures.be;www.bouillondecultures.be
Bruxelles Nous Appartient;BNA-BBOT;DECRET 2003;3;RUE DE LAEKEN  119;1000;BRUXELLES;02/223 21 51;02/223 21 52;any@bna-bbot.be;www.bna-bbot.be
Cactus (Le);;DECRET 2003;1;RUE VAN LINT  16;1070;BRUXELLES;02/521 48 10;02/523 04 17;lecactus.info@skynet.be;
Canopea;;DECRET 2003;1 + 3;BOULEVARD E. MELOT  5/12;5000;NAMUR;081/39 07 50;;info@canopea.be;www.canopea.be
Carrefour des Cultures;;DECRET 2003;1;AVENUE CARDINAL MERCIER  40;5000;NAMUR;081/41 27 51;;info@carrefourdescultures.org;www.carrefourdescultures.org
Ceinture Aliment-Terre liégeoise;CATL;DECRET 2003;1;AVENUE DE JUPILLE  16b;4020;LIEGE;04/223 15 51;;info@catl.be;www.catl.be
Centre Avec;;DECRET 2003;1 + 3;RUE MAURICE LIETART  31/4;1150;BRUXELLES;02/738 08 28;02/738 08 16;secretariat@centreavec.be;www.centreavec.be
Centre bruxellois d'Action Interculturelle;CBAI;DECRET 2003;3;AVENUE DE STALINGRAD  24;1000;BRUXELLES;02/513 96 02;02/512 17 96;info@cbai.be;www.cbai.be
Centre communautaire laïc juif;CCLJ;DECRET 2003;1 + 3;RUE HOTEL DES MONNAIES  52;1060;BRUXELLES;02/543 02 70;02/543 02 71;info@cclj.be ;www.cclj.be
Centre culturel arabe en Pays de Liège;CCAPL;DECRET 2003;1;RUE BELVAUX  128;4030;LIEGE;04/342 78 84;04/342 78 84;info@ccapl.be;www.ccapl.be
Centre culturel Le Réverbère;;DECRET 2003;1;CENTRE  2;4890;CLERMONT;087/44 68 06 ;;;www.lereverbere.be
Centre d'Accueil, de Rencontre, d'Insertion et d'Animation;CARIA;DECRET 2003;1;RUE HAUTE  135;1000;BRUXELLES;02/513 00 14;02/511 02 12;caria135@skynet.be;www.asblcaria.be
Centre d'Action laïque;CAL;DECRET 2003 (Mvt);"Mouv. (1;3;4)";BOULEVARD DE LA PLAINE - CAMPUS DE LA PLAINE / ULB CP 236;1050;BRUXELLES;02/627 68 11;02/627 68 01;cal@laicite.net;www.laicite.be
Centre d'Action sociale italien - Université ouvrière;CASI-UO;DECRET 2003;1;RUE SAINT-GUIDON  94;1070;BRUXELLES;02/521 21 25;02/521 21 25;casi-uo@skynet.be;www.casi-uo.com
Centre d'Animation et de Recherche en Histoire ouvrière et populaire;CARHOP;DECRET 2003;3;AVENUE DE LA HOUSSIERE 80;7090;BRAINE-LE-COMTE;067/48 58 61;067/55 72 34;info@carhop.be;www.carhop.be
Centre de Développement et d'Animation schaerbeekois;CEDAS;DECRET 2003;1;RUE VERTE  210;1030;BRUXELLES;02/242 20 83;02/242 20 83;cedas.asbl@gmail.com;www.cedasasbl.be
Centre de Dynamique des Groupes et d'Analyse institutionnelle;CDGAI;DECRET 2003;3;LIEGE SCIENCE PARK - RUE BOIS SAINT-JEAN  9;4102;SERAING;04/366 06 63;04/366 06 68;info@cdgai.be;www.cdgai.be
Centre de Formation Cardijn;CEFOC;DECRET 2003;1 + 3;RUE SAINT-NICOLAS  84;5000;NAMUR;081/23 15 22;081/23 15 22;info@cefoc.be;www.cefoc.be
Centre de Formation pour le Développement et la Solidarité internationale;ITECO;DECRET 2003;2;RUE RENKIN  2;1030;BRUXELLES;02/243 70 30;02/245 39 29;iteco@iteco.be;www.iteco.be
Centre de Prévention des Violences conjugales et familiales;CPVCF;DECRET 2003;1;RUE DES COLONIES  11;1000;BRUXELLES;02/539 27 44;02/534 49 46;info@cpvcf.org;www.cpvcf.org
Centre de Recherche et de Rencontre;CRR;DECRET 2003;1;RUE PUITS EN SOCK  63;4020;LIEGE;04/342 57 76;;crrliege63@gmail.com;crrliege.wordpress.com
Centre de Recherche et d'Information socio-politiques;CRISP;DECRET 2003;3;PLACE QUETELET  1A;1210;BRUXELLES;02/211 01 80;02/219 79 34;info@crisp.be;www.crisp.be
Centre d'Education populaire André Genot;CEPAG;DECRET 2003 (Mvt);"Mouv. (1;2;3;4)";RUE DE NAMUR  47;5000;BEEZ;081/26 51 52;081/26 51 51;cepag@cepag.be;www.cepag.be
Centre d'Etudes Jacques Georgin;CEG;DECRET 2003;3;CHAUSSEE DE CHARLEROI  127;1060;BRUXELLES;02/533 30 16;;;www.cejg.be
Centre d'Expertise et de Ressources pour l'Enfance;CERE;DECRET 2003;3;RUE DE LA POSTE  105;1030;BRUXELLES;02/333 46 10;02/333 46 19;info@cere-asbl.be;www.cere-asbl.be
Centre d'Information et d'Education populaire du M.O.C.;CIEP MOC;DECRET 2003 (Mvt);"Mouv. (1;2;3;4)";CHAUSSEE DE HAECHT  579 / BP 50;1031;BRUXELLES;02/246 38 43;02/246 38 25;communautaire@ciep.be;www.ciep.be
Centre féminin d'Education permanente;CFEP;DECRET 2003;1;RUE DU MERIDIEN  10;1210;BRUXELLES;02/229 38 42;;info@cfep.be;www.cfep.be
Centre Femmes / Hommes Verviers;;DECRET 2003;1;RUE DE HODIMONT   44;4800;VERVIERS;087/33 18 76;087/63 29 82;info@cfhv.be ;www.cfhv.be
Centre Franco Basaglia;CFB;DECRET 2003;3;CHAUSSEE DES PRES  42-44;4020;LIEGE;04/227 02 58;04/227 02 97;educationpermanente@psychiatries.be;www.psychiatries.be
Centre hervien d'Animation culturelle;CHAC;DECRET 2003;1;PLACE DE L'HOTEL DE VILLE  18;4650;HERVE;087/66 09 07;087/66 09 07;info@chac.be;www.chac.be
Centre Jean Gol;CJG;DECRET 2003;3;AVENUE DE LA TOISON D'OR   84-86;1060;BRUXELLES;02/500 50 41;;;www.cjg.be
Centre libéral d'Action et de Réflexion sur l'Audiovisuel;CLARA;DECRET 2003;1 + 3;BOULEVARD BAUDOUIN  8;1000;BRUXELLES;02/203 94 44;;contact@clara.be;www.clara.be
Centre national de Coopération au Développement;CNCD;DECRET 2003;1 + 3;QUAI DU COMMERCE  9;1000;BRUXELLES;02/250 12 30;;cncd@cncd.be;www.cncd.be
Centre permanent pour la Citoyenneté et la Participation;CPCP;DECRET 2003;1 + 3;AVENUE DES ARTS  50/6;1000;BRUXELLES;02/318 44 33;;info@cpcp.be;www.cpcp.be
Centre Placet;;DECRET 2003;1;RUE DES SPORTS  2;1348;LOUVAIN-LA-NEUVE;010/47 46 92;;info@placet.be;www.placet.be
Centre polyculturel Résistances;CP-CR;DECRET 2003;1;JONRUELLE  11-15;4000;LIEGE;04/227 54 19;;info@cpcr.be;www.cpcr.be
Centre pour la Formation et l'Intervention psycho-sociologiques;CFIP;DECRET 2003;2;AVENUE GRIBAUMONT  153;1200;BRUXELLES;02/770 50 48;02/772 67 84;secretariat@cfip.be;www.cfip.be
Centre régional du Libre Examen de Bruxelles;Librex;DECRET 2003;1;RUE COENRAETS  66;1060;BRUXELLES;02/538 19 42;;info@centrelibrex.be;centrelibrex.be
Centre socialiste d'Education permanente;CESEP;DECRET 2003;2 + 3;RUE DE CHARLEROI  47;1400;NIVELLES;067/89 08 70;067/21 00 97;administration@cesep.be;www.cesep.be
Centre tricontinental;CETRI;DECRET 2003;3;AVENUE SAINTE-GERTRUDE  5;1348;LOUVAIN-LA-NEUVE;010/48 95 60;010/48 95 69;cetri@cetri.be;www.cetri.be
Centre Vidéo de Bruxelles;CVB;DECRET 2003;1 + 3;RUE DE LA POSTE  111;1030;BRUXELLES;02/221 10 50;02/221 10 51;info@cvb.be;cvb.be
Centres d'Entraînement aux Méthodes d'Education active;CEMEA;DECRET 2003;2;AVENUE DE LA PORTE DE HAL  39/3;1060;BRUXELLES;02/543 05 90;02/543 05 99;education-permanente@cemea.be;www.cemea.be
Cercle du Laveu;;DECRET 2003;1;RUE DES ACACIAS  24;4000;LIEGE;0497/26 07 08;;contact@cercledulaveu.info;www.cercledulaveu.be
Cercle du Libre Examen de l'ULB;;DECRET 2003;1;AVENUE PAUL HEGER  22  CP166;1000;BRUXELLES;02/650 37 65;02/647 56 65;cercle@librexulb.be;www.librex.be
Cercles des Naturalistes de Belgique;CNB;DECRET 2003;1 + 2;RUE DES ECOLES  21;5670;VIERVES-SUR-VIROIN;060/39 98 78;060/39 94 36;info@cercles-naturalistes.be;www.cercles-naturalistes.be
Changements pour l'Egalité;Cgé;DECRET 2003;1 + 3;RUE DES PALAIS  154;1030;BRUXELLES;02/218 34 50;02/218 49 67;info@changement-egalite.be;www.changement-egalite.be
Collectif Alpha;;DECRET 2003;1 + 3;RUE DE ROME  12;1060;BRUXELLES;02/538 36 57;02/538 27 44;info@collectif-alpha.be;www.collectif-alpha.be
Collectif contre les Violences familiales et l'Exclusion;CVFE;DECRET 2003;1 + 3;RUE MAGHIN  11;4000;LIEGE;04/221 60 69;;cvfe@cvfe.be;www.cvfe.be
Collectif des Femmes;;DECRET 2003;1;RUE DES SPORTS  19;1348;LOUVAIN-LA-NEUVE;010/47 47 69;;info@collectifdesfemmes.be ;www.collectifdesfemmes.be
Collectif Formation Société;CFS;DECRET 2003;2 + 3;RUE DE LA VICTOIRE  26;1060;BRUXELLES;02/543 03 03;02/543 03 09;info@cfsasbl.be;www.ep.cfsasbl.be
Collectif Solidarité contre l'Exclusion;CSCE;DECRET 2003;3;CHAUSSEE DE HAECHT  51;1210;BRUXELLES;02/535 93 50;02/535 93 59;info@asbl-csce.be;www.asbl-csce.be
Comité de la Samaritaine;;DECRET 2003;1;RUE DE LA SAMARITAINE  41;1000;BRUXELLES;02/513 06 26;02/513 06 26;coordinationsamaritaine@gmail.com;www.comitedelasamartaine.be
Comité pour l'Abolition des Dettes illégitimes;CADTM;DECRET 2003;1 + 3;RUE JONFOSSE  8;4000;LIEGE;0460/97 96 80;;info@cadtm.org;www.cadtm.org
Commission Justice & Paix - Belgique francophone;CJP;DECRET 2003;1 + 3;CHAUSSEE SAINT-PIERRE  208;1040;BRUXELLES;02/896 95 00;;info@justicepaix.be;www.justicepaix.be
Coopération Education Culture;CEC ONG;DECRET 2003;1;RUE DU GRAND HOSPICE 7 (local A17);1000;BRUXELLES;02/217 90 71;;info@cec-ong.org;www.cec-ong.org
Coordination des ONG pour les Droits de l'Enfant;CODE;DECRET 2003;3;AVENUE EMILE DE BECO  109;1050;BRUXELLES;02/223 75 00;;info@lacode.be;www.lacode.be
Coordination et Initiatives pour Réfugiés et Etrangers;CIRE;DECRET 2003;1 + 3;RUE DU VIVIER   80-82;1050;BRUXELLES;02/629 77 10;02/629 77 33;cire@cire.be;www.cire.be
Corps écrits;;DECRET 2003;3;PLACE GALILEE  6;1348;LOUVAIN-LA-NEUVE;010/47 28 61;;info@corps-ecrits.be;www.corps-ecrits.be
Couples et Familles;;DECRET 2003;3;RUE BASSE MARCELLE  26;5000;NAMUR;081/45 02 99;;info@couplesfamilles.be ;www.couplesfamilles.be
Création chez les Handicapés mentaux;CREAHM;DECRET 2003;1;QUAI SAINT-LEONARD  6;4000;LIEGE;04/227 23 28;;direction@creahm.be;www.creahm.be
Culture & Démocratie;;DECRET 2003;3;RUE COENRAETS  72;1060;BRUXELLES;02/502 12 15;;info@cultureetdemocratie.be;www.cultureetdemocratie.be
Culture & Développement ;C&D;DECRET 2003;1;RUE DU BEAU MUR  50;4030;LIEGE;04/358 04 27;;coordination@cultureetdeveloppement.be;www.cultureetdeveloppement.be
Cultures & Santé;;DECRET 2003;3;RUE D'ANDERLECHT  148;1000;BRUXELLES;02/558 88 10;02/520 51 04;info@cultures-sante.be;www.cultures-sante.be
Début des Haricots (Le);;DECRET 2003;1;RUE DE LA CROIX DE PIERRE  85;1060;BRUXELLES;02/644 07 77;;ledebut@haricots.org;www.haricots.org
Défense des Enfants International - Belgique;DEI;DECRET 2003;3 + 4;RUE MARCHE-AUX-POULETS  30;1000;BRUXELLES;02/203 79 08;02/209 61 60;info@defensedesenfants.be;www.defensedesenfants.be
Dominos la Fontaine;;DECRET 2003;1;RUE DE LA STATION  25;5500;DINANT;;;lafontaineasbl@hotmail.be;www.unlabo.net/dominoslafontaine/
D'Une Certaine Gaieté;;DECRET 2003;1 + 3;BOULEVARD DE LA SAUVENIERE  97;4000;LIEGE;04/222 12 46;04/223 21 26;info@d1cg.org;www.d1cg.org
éclosio;;DECRET 2003;1;PASSAGE DES DEPORTES  2;5030;GEMBLOUX;081/62 25 75;081/60 00 22;info@eclosio.ong;www.eclosio.ong
Ecoconso;;DECRET 2003;4;RUE NANON  98;5000;NAMUR;081/73 07 30;081/39 07 90;info@ecoconso.be;www.ecoconso.be
Ecole paysanne indépendante;EPI;DECRET 2003;1;RUE D'HANNUT  181;5021;BONINNE;060/51 21 11;;;lemap.be/L-EPI-ecole-paysanne-independante
Ecomusée du Pays des Collines;;DECRET 2003;1;RUE PLADA  6;7890;ELLEZELLES;068/64 51 55;068/45 67 37;info@ecomusee.eu;www.ecomusee.eu
Ecotopie - Laboratoire d'Ecopédagogie;;DECRET 2003;2;RUE FUSCH  3;4000;LIEGE;04/366 38 18;04/366 29 24;info@ecotopie.be;www.ecotopie.be
Education Environnement;;DECRET 2003;2;RUE FUSCH  3;4000;LIEGE;04/250 75 10;;info@education-environnement.be ;www.education-environnement.be
Education Santé Société;ESS;DECRET 2003;1;RUE REMPART DES MOINES  78;1000;BRUXELLES;02/371 31 11;;ess.asbl@croix-rouge.be;www.ess-asbl.be
Emancipe;;DECRET 2003;2;RUE LUTHER  52;1000;BRUXELLES;02/315 79 26;;info@emancipe.be;www.emancipe.be
Enéo;;DECRET 2003 (Mvt);"Mouv. (1;3;4)";CHAUSSEE DE HAECHT  579/50;1031;BRUXELLES;02/246 46 70;02/246 46 77;info@eneo.be;www.eneo.be
Energie commune;;DECRET 2003;4;RUE FERNAND BERNIER, 15;1060;BRUXELLES;02/218 78 99;;info@energiecommune.be;www.energiecommune.be
Entr'Ages;;DECRET 2003;1;BOULEVARD DE LA REVISION  38;1070;BRUXELLES;02/544 17 87;02/544 17 88;info@entrages.be;www.entrages.be
Entraide et Fraternité;;DECRET 2003;3;RUE DU GOUVERNEMENT PROVISOIRE  32;1000;BRUXELLES;02/640 84 17;;info@entraide.be;www.entraide.be
Equipes populaires (Les);EP;DECRET 2003 (Mvt);"Mouv. (1;3;4)";RUE DU LOMBARD  8/2;5000;NAMUR;081/73 40 86;081/74 28 33;secretariat@equipespopulaires.be;www.equipespopulaires.be
Esenca;;DECRET 2003;3 + 4;RUE SAINT-JEAN  32-38;1000;BRUXELLES;02/515.02.65;;esenca@solidaris.be;www.esenca.be
Esenca- Liège;;DECRET 2003;1;RUE DOUFFET  36;4020;LIEGE;04/341 63 06;;esenca.liege@solidaris.be;www.esenca.be
Esenca - Namur-Philippeville;;DECRET 2003;1;CHAUSSEE DE WATERLOO  182;5002;SAINT-SERVAIS;071/66.94.52;;325.esenca@solidaris.be;www.esenca.be
Esenca – Wallonie picarde;;DECRET 2003;1;AVENUE DES NOUVELLES TECHNOLOGIES  24;7080;FRAMERIES;068/84.82.70;;esenca.315@solidaris.be ;www.esenca.be
Espace citoyen du C.T.L. 10;;DECRET 2003;1;;7700;MOUSCRON;;;info@24hmouscron.be;www.24hmouscron.be
Espace Environnement;;DECRET 2003;1;RUE DE MONTIGNY  29;6000;CHARLEROI;071/30 03 00;071/30 02 54;info@espace-environnement.be;www.espace-environnement.be
Etopia;;DECRET 2003;1 + 3;AVENUE DE MARLAGNE  52;5000;NAMUR;081/22 58 48;081/23 18 47;info@etopia.be;www.etopia.be
Eyad - La Maison de Turquie;EYAD;DECRET 2003;1;CHAUSSEE DE HAECHT  75;1210;BRUXELLES;02/218 05 07;02/219 10 87;info@eyadasbl.be;www.eyadasbl.be
Faites-le Autrement;;DECRET 2003;1;RUE DE TAISNIERES  53;7080;SARS-LA-BRUYERE;065/95 06 43;;faites-le-autrement@hotmail.com;www.faites-le-autrement.net
Fédération des Amis de la Morale laïque;FAML;DECRET 2003;3;RUE DE LA CROIX DE FER  60-62;1000;BRUXELLES;02/476 92 83;02/476 94 35;info@faml.be;www.faml.be
Fédération des Associations de Parents de l'Enseignement officiel;FAPEO;DECRET 2003;1 + 3;RUE DE BOURGOGNE  48;1190;BRUXELLES;02/527 25 75;02/527 25 70;secretariat@fapeo.be;www.fapeo.be
Fédération des Centres pluralistes de Planning familial;FCPPF;DECRET 2003;3;AVENUE EMILE DE BECO  109;1050;BRUXELLES;02/514 61 03;02/514 61 03;info@fcppf.be;www.fcppf.be
Fédération des Employeurs des Secteurs de l'Education permanente et de la Formation des Adultes;FESEFA;DECRET 2003;Féd. représentative;RUE D'ARENBERG  44;1000;BRUXELLES;02/502 46 73;02/502 64 77;info@fesefa.be;www.fesefa.be
Fédération des Maisons de la Laïcité;FdML;DECRET 2003;1;ROUTE DE LOUVAIN-LA-NEUVE  4;5001;BELGRADE;081/73 82 99;081/73 86 14;info@fdml.be;www.fdml.be
Fédération des Maisons médicales;FMM;DECRET 2003;1 + 3;BOULEVARD DU MIDI  25/5;1000;BRUXELLES;02/514 40 14;02/514 40 04;ep@fmm.be;www.maisonmedicale.org
Fédération francophone des Sourds de Belgique;FFSB;DECRET 2003;1;AVENUE MARNIX  19A/25;1000;BRUXELLES;02/644 69 01;02/644 68 44;info@ffsb.be;www.ffsb.be
Fédération indépendante des Seniors;FIS;DECRET 2003;1;BOULEVARD BAUDOUIN  18;1000;BRUXELLES;02/223 10 00;02/217 82 11;fedindseniors@skynet.be;www.fedindseniors.be
Fédération laïque des Centres de Planning familial;FLCPF;DECRET 2003;1 + 3;RUE DE LA TULIPE  34;1050;BRUXELLES;02/502 82 03;02/503 30 93;flcpf@planningfamilial.net;www.planningfamilial.net
Fédération Luttes Solidarités Travail;LST;DECRET 2003;1;RUE PEPIN  27;5000;NAMUR;081/22 15 12;081/22 63 59;federation@mouvement-LST.org;www.mouvement-lst.org
Femmes épanouies et actives;FEZA;DECRET 2003;1;RUE VOGLER  38;1030;BRUXELLES;02/242 36 42;;info@feza-asbl.be;
Financité;;DECRET 2003;"Mouv. (1;3;4)";RUE BOTANIQUE  75;1210;BRUXELLES;02/340 08 60;;info@financite.be;www.financite.be
Fonderie (La);;DECRET 2003;3;RUE RANSFORT  27;1080;BRUXELLES;02/410 10 80;;info@lafonderie.be;www.lafonderie.be
Food First Information and Action Network - Belgium;FIAN;DECRET 2003;1 + 3;RUE VAN ELEWIJCK  35;1050;BRUXELLES;02/640 84 17;;fian@fian.be;www.fian.be
Form'Action André Renard;FAR;DECRET 2003;2 + 3;PLACE SAINT-PAUL  9-11;4000;LIEGE;04/221 96 34;04/223 10 11;info@far.be;www.far.be
Form'Anim;;DECRET 2003;1;RUE DU PAPILLON   45;4100;SERAING;04/338 16 35;04/338 42 53;info@formanim.be;www.formanim.be
